scenario,metric,value,unit,notes
S1,idle_container_memory,224,MiB,"single ClickHouse node, 10s after start, --memory=600m limit"
S1,s1a_replication_confirmed,YES,boolean,"ext node with matching Keeper zoo_path + distinct macros becomes real replica, not in main remote_servers"
S1,s1a_reverse_write_leak,YES,boolean,"INSERT on ext replica propagates back to main -- same physical table, critical caveat"
S1,s1b_readonly_enforcement,PASS,boolean,"readonly=1 profile blocks INSERT/ALTER/SYSTEM for ext_reader user"
S1,s1b_isolation_gap_zookeeper,YES,boolean,"readonly user can still SELECT from system.zookeeper -- needs explicit REVOKE"
S1,s1b_always_fetch_merged_part_setting,EXISTS,boolean,"verified via system.merge_tree_settings, default 0, applied via ALTER TABLE MODIFY SETTING"
S1,s1b_replicated_can_become_leader_setting,EXISTS,boolean,"verified via system.merge_tree_settings, default 1"
S1,s1b_max_concurrent_queries_for_user_setting,EXISTS,boolean,"verified via system.settings, default 0 (unlimited)"
S1,s1c_split_keeper,BREAKS_COMPLETELY,boolean,"same zoo_path string on independent Keeper ensembles = zero data sharing, confirmed by insert test both directions"
S1,ddl_add_column_propagation,YES_via_replication_log,boolean,"ALTER ADD COLUMN without ON CLUSTER propagates to ext replica automatically -- corrects task's assumed DDL drift risk"
S1,ddl_drop_partition_propagation,YES_via_replication_log,boolean,"same mechanism as ADD COLUMN"
S1,mutation_propagation,YES,boolean,"ALTER UPDATE mutation completes and propagates to ext replica, is_done=1 on both sides"
S1,optimize_final_propagation,YES,boolean,"parts count matches on both sides after OPTIMIZE FINAL"
S1,chaos_ext_down_main_latency_before,0.003,seconds,"SELECT count() baseline"
S1,chaos_ext_down_main_latency_during,0.003,seconds,"no observable degradation while ext replica down"
S1,chaos_ext_down_mutation_completes,YES,boolean,"ALTER DELETE completes (is_done=1) on main without waiting for dead ext replica"
S1,chaos_ext_catchup_time,13,seconds,"~2000 rows, NOT a throughput measurement at task-spec scale (30-100k rows/sec) -- flagged gap"
S1,chaos_system_drop_replica,CLEAN,boolean,"total_replicas 3->2 immediately, correct"
S1,chaos_permanent_loss_recovery_recipe,DROP_TABLE_THEN_RECREATE,recipe,"orphaned node must DROP TABLE + CREATE with same zoo_path + up-to-date schema, full re-fetch, no partial resync"
S1,chaos_insert_quorum_all_replicas,BLOCKS,boolean,"insert_quorum=3 (counting dead ext replica) rejects insert: TOO_FEW_LIVE_REPLICAS"
S1,chaos_insert_quorum_auto,SUCCEEDS,boolean,"insert_quorum=auto (majority) succeeds with ext replica down"
S1,chaos_query_bomb_main_latency_impact,NONE_OBSERVED,boolean,"main latency flat 0.011-0.054s during 8 concurrent heavy ext-side queries; separate containers/processes"
S1,chaos_query_bomb_main_cpu,47,percent,"docker stats during bomb -- uncorrelated with ext load"
S1,chaos_query_bomb_ext_cpu,17,percent,"docker stats during bomb -- ext's own load"
S1,chaos_network_partition_recovery,8,seconds,"transient partition shorter than keeper session_timeout_ms=30000 -- no special recovery needed, auto catch-up"
S1,keeper_coupling,MANDATORY,boolean,"S1c proves shared Keeper ensemble is structurally required, not optional, for this approach"
