scenario,metric,value,unit,notes
S3,mv_push_mechanism,CONFIRMED,boolean,"INSERT into main.events triggers MV -> Distributed -> ext, count() matches within 3s"
S3,backfill_gap,CONFIRMED,boolean,"pre-existing rows (inserted before MV creation) never propagate to ext -- MV is a pure insert trigger"
S3,populate_with_to_target,SYNTAX_ERROR,boolean,"CREATE MATERIALIZED VIEW ... TO <table> POPULATE is rejected outright -- incompatible combination in this version"
S3,populate_race_condition,MOOT,boolean,"cannot occur via POPULATE since POPULATE+TO is disallowed; a DIFFERENT race exists in the manual-backfill workaround (see LOG.md)"
S3,manual_backfill_recipe,WORKS,recipe,"create MV without POPULATE first, then manually INSERT INTO the Distributed table for historical rows"
S3,distribution_queue_growth_rate,20.6,bytes_per_row,"measured via /store/<uuid>/shard1_replica1 .bin file growth and system.distribution_queue"
S3,extrapolated_growth_at_30k_rows_sec,618,KB_per_sec,"20.6 bytes/row * 30000 rows/sec"
S3,extrapolated_growth_at_100k_rows_sec,2060,KB_per_sec,"20.6 bytes/row * 100000 rows/sec"
S3,bytes_to_throw_insert_default,0,bytes,"disabled by default -- unbounded growth unless explicitly set"
S3,bytes_to_delay_insert_default,0,bytes,"disabled by default -- unbounded growth unless explicitly set"
S3,distributed_setting_alter_support,NOT_IMPLEMENTED,boolean,"ALTER TABLE ... MODIFY SETTING fails on Distributed engine -- must set at CREATE TABLE time"
S3,critical_finding_local_write_not_rolled_back,YES,boolean,"when MV push to Distributed throws DISTRIBUTED_TOO_MANY_PENDING_BYTES, the source table INSERT still succeeds -- client sees exception but data IS written to main"
S3,retry_duplication_risk,SEVERE,boolean,"naive retry-on-error at ingestion layer will duplicate data in the PRIMARY table, not just the pushed copy"
S3,rejected_batch_recovery,NOT_AUTOMATIC,boolean,"rows that never reached the Distributed queue (rejected by bytes_to_delay_insert) are not queued anywhere for retry -- operator must detect and backfill manually"
S3,queue_drain_after_ext_recovery,CONFIRMED,boolean,"distribution_queue returned to 0 bytes ~25s after ext came back, delivering only the rows that made it into the queue before rejection started"
S3,isolation_ext_reach_main,YES_structural,boolean,"push model requires main to open connections to ext -- underlying bridge network is bidirectional by default, ext CAN reach main unless firewall enforced separately (same br_netfilter limitation as S1)"
S3,network_model,push_main_initiates,description,"opposite of pull models (S6, S7) -- main's ClickHouse process makes outbound connections to ext, worse default security posture"
